--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:23:07 2023
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.28125}
{'pid': 8, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 1.65625}
{'pid': 72, 'username': 'NT AUTHORITY\\SYSTEM', 'name': '', 'vms': 0.1796875}
{'pid': 96, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'services.exe', 'vms': 6.75}
{'pid': 132, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'Registry', 'vms': 10.8125}
{'pid': 508, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'smss.exe', 'vms': 1.08984375}
{'pid': 588, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'lsass.exe', 'vms': 9.1640625}
{'pid': 592, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'LsaIso.exe', 'vms': 1.0625}
{'pid': 756, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 4.91796875}
{'pid': 860, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'csrss.exe', 'vms': 2.17578125}
{'pid': 948, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'wininit.exe', 'vms': 1.453125}
{'pid': 972, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'csrss.exe', 'vms': 3.4375}
{'pid': 1072, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 12.45703125}
{'pid': 1104, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'WUDFHost.exe', 'vms': 9.41015625}
{'pid': 1112, 'username': 'Font Driver Host\\UMFD-0', 'name': 'fontdrvhost.exe', 'vms': 1.89453125}
{'pid': 1132, 'username': 'DC2\\ashinde05', 'name': 'igfxEMN.exe', 'vms': 3.67578125}
{'pid': 1160, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 1.6171875}
{'pid': 1200, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe', 'vms': 9.19921875}
{'pid': 1260, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 2.03125}
{'pid': 1264, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.8984375}
{'pid': 1308, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'WUDFHost.exe', 'vms': 11.9140625}
{'pid': 1404, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'winlogon.exe', 'vms': 2.3203125}
{'pid': 1472, 'username': 'Font Driver Host\\UMFD-1', 'name': 'fontdrvhost.exe', 'vms': 2.125}
{'pid': 1560, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe', 'vms': 5.1328125}
{'pid': 1572, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.85546875}
{'pid': 1588, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 6.140625}
{'pid': 1596, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 1.6171875}
{'pid': 1604, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'WmiApSrv.exe', 'vms': 1.765625}
{'pid': 1620, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 1.2578125}
{'pid': 1696, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'ServiceShell.exe', 'vms': 63.4453125}
{'pid': 1724, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 2.8828125}
{'pid': 1732, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe', 'vms': 4.3671875}
{'pid': 1796, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.578125}
{'pid': 1804, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 2.5546875}
{'pid': 1816, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 1.93359375}
{'pid': 1844, 'username': 'DC2\\ashinde05', 'name': 'ApplicationFrameHost.exe', 'vms': 8.0625}
{'pid': 1972, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'IntelCpHDCPSvc.exe', 'vms': 1.2578125}
{'pid': 1984, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 3.1953125}
{'pid': 2000, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 2.078125}
{'pid': 2032, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 16.4296875}
{'pid': 2180, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe', 'vms': 5.609375}
{'pid': 2212, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 2.640625}
{'pid': 2240, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 18.703125}
{'pid': 2252, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 2.26953125}
{'pid': 2320, 'username': 'DC2\\ashinde05', 'name': 'dptf_helper.exe', 'vms': 1.54296875}
{'pid': 2328, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 1.65234375}
{'pid': 2360, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 1.33203125}
{'pid': 2384, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 131.44140625}
{'pid': 2408, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'igfxCUIServiceN.exe', 'vms': 2.07421875}
{'pid': 2588, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'svchost.exe', 'vms': 5.39453125}
