--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:25:27 2023
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.28125}
{'name': 'svchost.exe', 'pid': 8, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.65625}
{'name': '', 'pid': 72, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.1796875}
{'name': 'services.exe', 'pid': 96, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.74609375}
{'name': 'Registry', 'pid': 132, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 10.98828125}
{'name': 'smss.exe', 'pid': 508, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.08984375}
{'name': 'lsass.exe', 'pid': 588, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 9.2265625}
{'name': 'LsaIso.exe', 'pid': 592, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.0625}
{'name': 'svchost.exe', 'pid': 756, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 4.91796875}
{'name': 'csrss.exe', 'pid': 860, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.20703125}
{'name': 'wininit.exe', 'pid': 948, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.453125}
{'name': 'csrss.exe', 'pid': 972, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.4375}
{'name': 'svchost.exe', 'pid': 1072, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 12.453125}
{'name': 'WUDFHost.exe', 'pid': 1104, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 9.41015625}
{'name': 'fontdrvhost.exe', 'pid': 1112, 'username': 'Font Driver Host\\UMFD-0', 'vms': 1.89453125}
{'name': 'igfxEMN.exe', 'pid': 1132, 'username': 'DC2\\ashinde05', 'vms': 3.67578125}
{'name': 'svchost.exe', 'pid': 1200, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 9.16015625}
{'name': 'svchost.exe', 'pid': 1260, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 2.03125}
{'name': 'svchost.exe', 'pid': 1264, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.9609375}
{'name': 'WUDFHost.exe', 'pid': 1308, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 11.88671875}
{'name': 'winlogon.exe', 'pid': 1404, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.3203125}
