--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:28:49 2023
--------------------------------------------------------------------------------

{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.28125}
{'pid': 8, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.72265625}
{'pid': 72, 'name': '', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.1796875}
{'pid': 96, 'name': 'services.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.81640625}
{'pid': 132, 'name': 'Registry', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 9.20703125}
{'pid': 508, 'name': 'smss.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.08984375}
{'pid': 588, 'name': 'lsass.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 9.203125}
{'pid': 592, 'name': 'LsaIso.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.0625}
{'pid': 756, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 4.98046875}
{'pid': 860, 'name': 'csrss.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.14453125}
{'pid': 948, 'name': 'wininit.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.453125}
{'pid': 972, 'name': 'csrss.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.4375}
{'pid': 1072, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 12.38671875}
{'pid': 1104, 'name': 'WUDFHost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 9.41015625}
{'pid': 1112, 'name': 'fontdrvhost.exe', 'username': 'Font Driver Host\\UMFD-0', 'vms': 1.89453125}
{'pid': 1132, 'name': 'igfxEMN.exe', 'username': 'DC2\\ashinde05', 'vms': 3.67578125}
{'pid': 1200, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 9.34765625}
{'pid': 1260, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 2.09765625}
{'pid': 1264, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.8984375}
{'pid': 1308, 'name': 'WUDFHost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 11.88671875}
{'pid': 1404, 'name': 'winlogon.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.50390625}
{'pid': 1472, 'name': 'fontdrvhost.exe', 'username': 'Font Driver Host\\UMFD-1', 'vms': 2.125}
{'pid': 1560, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 5.234375}
{'pid': 1572, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.921875}
{'pid': 1580, 'name': 'py.exe', 'username': 'DC2\\ashinde05', 'vms': 1.328125}
{'pid': 1588, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 6.2109375}
{'pid': 1596, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.6171875}
{'pid': 1620, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.2578125}
{'pid': 1696, 'name': 'ServiceShell.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 63.63671875}
{'pid': 1724, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 2.8828125}
{'pid': 1732, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'vms': 4.3984375}
{'pid': 1796, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.59375}
{'pid': 1804, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 2.63671875}
{'pid': 1816, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 2.140625}
{'pid': 1844, 'name': 'ApplicationFrameHost.exe', 'username': 'DC2\\ashinde05', 'vms': 8.0625}
{'pid': 1972, 'name': 'IntelCpHDCPSvc.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.2578125}
{'pid': 1984, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.26171875}
{'pid': 2000, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 2.0546875}
{'pid': 2032, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 15.84375}
